,Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change,Reference Cell Type
130,CPS,Micro-PVM_2,0.0,-0.047,0.852,0.28,0.831,197.87413198350507,0.0,Ependymal
130,CPS,Micro-PVM_2,0.5869962057688555,0.096,1.1,0.309,0.924,328.0330467611426,0.7655738519037961,Astro_6-SEAAD
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.0,0.816,0.25,0.877,202.36980371317367,-0.0714362603137879,Oligo_4
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,0.0,0.0,0.0,0.0,293.9937905177228,-0.0721075949194498,Micro-PVM_2
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5658457695873792,0.139,0.974,0.236,0.977,351.77801708583456,0.6909494805715574,VLMC_1
37,Sex_codes,Micro-PVM_2,0.0,-0.4,0.075,0.134,0.552,223.5681253267467,0.0498057915196028,Astro_6-SEAAD
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.148,0.278,0.089,0.469,163.53508355027114,-0.0563400728086679,OPC_1
68,Sex_codes,Micro-PVM_2,0.0,-0.362,0.076,0.121,0.608,206.10771615875143,0.0588154951005714,Ependymal
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.398,0.077,0.107,0.438,217.0838638803143,0.0757955922620617,Ependymal
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5621489763348068,0.159,1.03,0.264,0.935,345.9501577765514,0.6924363107053568,Astro_2
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,0.0,0.0,0.0,0.0,333.90787714434816,0.1115568491437344,Micro-PVM_2
68,Sex_codes,Micro-PVM_2,0.0,-0.425,0.059,0.135,0.676,213.8079056652368,0.1056322958840698,Astro_3
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.0,0.811,0.249,0.889,188.41172369006424,-0.0767941649196554,Astro_3
99,Braak_codes,Micro-PVM_2,0.8220963447773968,0.309,1.318,0.275,0.991,330.94781176280685,0.9606634853368295,OPC_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.431,0.048,0.117,0.468,213.8934167776537,0.1091995232664826,Micro-PVM_4-SEAAD
99,ADNC_codes,Micro-PVM_2,0.0,-0.135,0.501,0.161,0.549,214.076715736055,0.0,Astro_2
130,CPS_AT8,Micro-PVM_2,0.6559259268313384,-0.0,1.127,0.339,0.91,293.26207253580105,0.6703002768031276,Endo_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.426,0.055,0.11,0.421,212.9781668722798,0.1061225206869998,Ependymal
37,Age_at_Death_binned_codes,Micro-PVM_2,0.5449105663282661,0.168,0.961,0.242,0.941,287.85651119717426,0.6434596226034202,Endo_1
37,Sex_codes,Micro-PVM_2,0.0,-0.499,0.006,0.164,0.772,234.7751354874356,0.1331517357991741,Astro_2
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5556024622624095,0.18,0.953,0.231,0.967,350.507284799475,0.6820397601966212,Micro-PVM_4-SEAAD
37,Sex_codes,Micro-PVM_2,0.0,-0.446,0.027,0.146,0.648,215.3120336495716,0.0590906633518998,Micro-PVM_3-SEAAD
6,Age_at_Death_binned_codes,Micro-PVM_2,0.4362940610175123,-0.002,0.746,0.232,0.886,236.1859337335025,0.4708366473225005,Oligo_3
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.096,0.285,0.084,0.531,184.27881465797807,0.0,Endo_1
99,ADNC_codes,Micro-PVM_2,0.0,-0.145,0.546,0.179,0.611,215.5746328241768,-0.0090696069763119,OPC_2_2-SEAAD
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.303,0.131,0.065,0.275,203.7175419299029,-0.0618600821762742,Oligo_4
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5403420983489505,0.105,0.991,0.254,0.954,316.86637365401634,0.6047881644965126,Endo_1
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.093,0.27,0.086,0.549,214.076715736055,0.0,Astro_2
68,Sex_codes,Micro-PVM_2,0.0,-0.423,0.056,0.138,0.705,196.3753809851148,0.0917238512795446,Endo_1
37,Sex_codes,Micro-PVM_2,0.0,-0.463,0.005,0.149,0.816,182.8762205189805,0.1017810940014469,Oligo_3
99,ADNC_codes,Micro-PVM_2,0.0,-0.098,0.523,0.157,0.626,221.6233099876689,0.0,Oligo_4
37,Sex_codes,Micro-PVM_2,0.0,-0.472,0.015,0.156,0.789,182.4804183763891,0.1018014131045781,OPC_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.384,0.089,0.117,0.447,200.4546217467872,0.1213854579220309,Endo_1
37,Sex_codes,Micro-PVM_2,0.0,-0.412,0.034,0.129,0.617,223.2025282412722,0.0309487001037777,Micro-PVM_4-SEAAD
37,Sex_codes,Micro-PVM_2,0.0,-0.467,0.0,0.152,0.788,179.75948590237277,0.103099950398575,Astro_4
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5543649872920001,0.127,0.954,0.231,0.989,349.1804303692268,0.6558630764197058,Oligo_4
37,Sex_codes,Micro-PVM_2,0.0,-0.41,0.041,0.133,0.56,221.82997581228923,0.0321972998591085,OPC_2_2-SEAAD
37,Age_at_Death_binned_codes,Micro-PVM_2,0.5627394330102938,0.152,0.953,0.242,0.94,294.12430402573835,0.6661656257290673,Endo_2
37,Age_at_Death_binned_codes,Micro-PVM_2,0.4629116611453557,0.069,0.904,0.239,0.94,289.0442128257992,0.5435976307691748,Micro-PVM_4-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.352,0.095,0.115,0.597,200.94391180402977,0.0585255568127769,Astro_6-SEAAD
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.101,0.322,0.098,0.518,167.3615308741326,0.0,Astro_4
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.104,0.278,0.09,0.585,217.9074996082399,0.0,VLMC_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.346,0.121,0.107,0.424,213.6140505628612,0.1043236414738338,Astro_3
37,Sex_codes,Micro-PVM_2,0.0,-0.344,0.083,0.099,0.474,213.98175269351137,-0.0506218537725012,Oligo_4
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.416,0.076,0.114,0.472,201.10666831243927,0.1177005435097892,Endo_2
130,CPS_AT8,Micro-PVM_2,0.0,-0.014,1.067,0.332,0.76,176.14941933782626,-0.1256895811535796,Micro-PVM_2_3-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.357,0.08,0.1,0.557,205.67430781659365,-0.0480687087494324,Oligo_4
130,CPS_AT8,Micro-PVM_2,0.0,0.0,0.0,0.0,0.0,275.3706189033067,-0.1665186418556081,Micro-PVM_2
99,ADNC_codes,Micro-PVM_2,0.0,-0.094,0.543,0.173,0.566,217.9074996082399,0.0,VLMC_1
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.0,0.863,0.258,0.901,195.65817826215056,-0.0741214860085982,Ependymal
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.1,0.306,0.094,0.542,218.4653790002513,0.0,Micro-PVM_4-SEAAD
99,Braak_codes,Micro-PVM_2,0.8141522793613098,0.304,1.261,0.255,1.0,322.7366469444943,0.947389452788106,Astro_4
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.095,0.196,0.062,0.533,197.87413198350507,0.0,Ependymal
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.1,0.281,0.088,0.521,170.4190246274746,0.0,Oligo_3
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.098,0.184,0.056,0.508,192.9553854424754,0.0,Astro_6-SEAAD
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.075,0.227,0.066,0.55,221.6233099876689,0.0,Oligo_4
37,Sex_codes,Micro-PVM_2,0.0,-0.407,0.07,0.136,0.614,222.93411043181857,0.0329015258313041,VLMC_1
99,APOE4_Status_codes,Micro-PVM_2,0.0,0.0,0.0,0.0,0.0,309.0613566952327,0.0,Micro-PVM_2
130,CPS_6e10,Micro-PVM_2,0.0,-0.009,0.884,0.28,0.896,200.7079463204811,0.0,OPC_2_2-SEAAD
6,Age_at_Death_binned_codes,Micro-PVM_2,0.4678015776772952,-0.0,0.867,0.259,0.9,305.8710434177697,0.5020148118624386,Astro_6-SEAAD
6,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.003,0.787,0.25,0.838,158.25514370522632,-0.1036878545867283,OPC_1
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.105,0.287,0.091,0.589,216.9341271860992,0.0,OPC_2_2-SEAAD
37,Sex_codes,Micro-PVM_2,0.0,-0.398,0.051,0.137,0.644,218.62492685856424,0.058831816398067,Astro_5
68,Sex_codes,Micro-PVM_2,0.0,0.0,0.0,0.0,0.0,326.70555585140715,0.0800977100529581,Micro-PVM_2
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.093,0.186,0.056,0.515,198.71253780922885,0.0,Astro_3
68,Sex_codes,Micro-PVM_2,0.0,-0.367,0.057,0.121,0.618,207.4262003820233,0.010141234786046,Ependymal
37,Sex_codes,Micro-PVM_2,0.0,-0.466,0.004,0.154,0.82,181.40300461161576,0.1015970518458243,Micro-PVM_2_1-SEAAD
6,Age_at_Death_binned_codes,Micro-PVM_2,0.4391005040534622,-0.006,0.778,0.235,0.893,236.816560387622,0.4902585569336198,Monocyte
37,Sex_codes,Micro-PVM_2,0.0,-0.487,0.004,0.156,0.806,179.76273022348855,0.0970113601457477,Astro_5
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.369,0.13,0.117,0.435,197.9931758995526,0.1128003327695807,OPC_1
37,Age_at_Death_binned_codes,Micro-PVM_2,0.5260194768791899,0.13,0.915,0.235,0.941,284.2690563482986,0.62447499072562,OPC_2
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.342,0.153,0.085,0.325,194.82307631246155,0.0142608715927781,Oligo_2
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.142,0.307,0.098,0.515,202.9128958083685,-0.0448477367502465,Monocyte
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.109,0.294,0.089,0.525,168.58911765658405,0.0,Monocyte
37,Age_at_Death_binned_codes,Micro-PVM_2,0.4924390696688608,0.087,0.903,0.25,0.908,279.7278448581517,0.5770902054660676,Endo_2
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.111,0.306,0.091,0.518,168.07237078946795,0.0,Astro_5
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.113,0.181,0.059,0.522,205.9732379115819,0.0,Ependymal
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.352,0.125,0.102,0.409,199.21715068401707,0.1115597803602782,OPC_2
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.095,0.275,0.089,0.572,217.83446111890245,0.0,Endo_1
6,Age_at_Death_binned_codes,Micro-PVM_2,0.530478647741034,0.087,0.921,0.242,0.955,317.5617353748262,0.5965656629660453,OPC_2_1-SEAAD
130,CPS_6e10,Micro-PVM_2,0.0,-0.002,0.787,0.254,0.832,194.4628494957564,0.0,Astro_2
37,Age_at_Death_binned_codes,Micro-PVM_2,0.4775357235484359,-0.0,0.814,0.249,0.915,270.1883847801644,0.5613152815197198,OPC_1
130,CPS_AT8,Micro-PVM_2,0.6486812876065445,-0.0,1.142,0.35,0.889,296.0283937014525,0.6636254429965391,Endo_3
99,ADNC_codes,Micro-PVM_2,0.0,-0.109,0.549,0.176,0.621,219.06529805393447,0.0,Lymphocyte
99,Braak_codes,Micro-PVM_2,0.7937411236932616,0.275,1.234,0.275,0.981,329.5284665323459,0.9713205175722212,Astro_5
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.444,0.06,0.111,0.41,202.0633297282284,0.1052805008392046,OPC_2
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.007,0.856,0.261,0.884,188.51749737377224,-0.0803460980684404,Pericyte_1
6,Age_at_Death_binned_codes,Micro-PVM_2,0.534196466248838,0.135,0.959,0.247,0.93,347.1957794762602,0.6508915477247904,Astro_5
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.072,0.271,0.081,0.558,186.87973275990265,0.0,Endo_3
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.011,0.769,0.232,0.891,197.05597698716068,0.0307018095104856,Oligo_2
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.09,0.223,0.061,0.494,200.03324149427263,0.0,Oligo_1
68,Sex_codes,Micro-PVM_2,0.0,-0.404,0.051,0.129,0.609,188.87001961019095,0.0447433389116171,OPC_1
68,Sex_codes,Micro-PVM_2,0.0,-0.401,0.012,0.128,0.604,202.68332382404012,0.1122937278461531,Endo_2
6,Age_at_Death_binned_codes,Micro-PVM_2,0.4427371024319803,-0.0,0.771,0.231,0.919,235.958196604066,0.4933635758759484,OPC_2_2-SEAAD
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5263644845423913,0.053,0.939,0.254,0.937,314.4569297899479,0.5875906322993395,OPC_2_2-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.422,0.037,0.135,0.657,203.4928365234726,0.1228678925097176,Endo_3
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5340499052044262,0.155,0.955,0.224,0.982,321.61239030557687,0.6092041886513577,Ependymal
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.015,0.756,0.247,0.853,195.4599541472785,-0.0932385824299895,Astro_6-SEAAD
99,ADNC_codes,Micro-PVM_2,0.0,-0.065,0.561,0.156,0.543,216.43278660589732,-0.0093131402462984,Endo_1
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5640754453101803,0.169,0.945,0.231,0.964,351.92027189320896,0.6893688085089477,Astro_4
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.381,0.075,0.114,0.453,207.2721926954328,0.0486849816423417,Micro-PVM_2_1-SEAAD
37,Age_at_Death_binned_codes,Micro-PVM_2,0.5595455323807725,0.148,0.944,0.222,0.977,290.98157613301225,0.660920469746326,Oligo_2_1-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.38,0.081,0.132,0.67,197.33109144425407,0.0710912590592987,OPC_2
37,Sex_codes,Micro-PVM_2,0.0,-0.456,0.044,0.147,0.672,218.60391278551387,0.0522004243933684,Ependymal
37,Sex_codes,Micro-PVM_2,0.0,-0.467,0.006,0.153,0.803,179.15570597496867,0.1006238566058738,OPC_2_1-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.427,0.033,0.131,0.637,191.91093582864855,0.0708405977154682,Astro_4
37,Sex_codes,Micro-PVM_2,0.0,0.0,0.0,0.0,0.0,307.15724065193547,0.0262549181870114,Micro-PVM_2
37,Sex_codes,Micro-PVM_2,0.0,-0.435,0.022,0.147,0.685,214.2692615221021,0.06114479758346,Astro_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.35,0.087,0.116,0.539,202.69834207656132,0.1393269484526972,Oligo_2_1-SEAAD
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5466025717382342,0.141,0.963,0.231,0.976,320.7804424048395,0.608823063198012,Pericyte_1
99,ADNC_codes,Micro-PVM_2,0.0,-0.143,0.533,0.179,0.605,219.81756573537325,0.0,OPC_2_1-SEAAD
99,Thal_codes,Micro-PVM_2,0.0,-0.026,0.73,0.239,0.773,202.6294783386272,-0.0334255872833663,SMC-SEAAD
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.081,0.293,0.089,0.525,160.7791857192239,-0.0555094873967661,OPC_2_1-SEAAD
130,CPS,Micro-PVM_2,0.0,0.0,0.0,0.0,0.0,299.696057920375,0.0,Micro-PVM_2
37,Sex_codes,Micro-PVM_2,0.0,-0.403,0.045,0.134,0.646,223.63454129524263,0.0352632232299965,Astro_4
37,Sex_codes,Micro-PVM_2,0.0,-0.43,0.05,0.138,0.591,223.23417679352173,0.0353257138418497,Endo_1
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.103,0.221,0.064,0.509,182.71515825244077,0.0,Astro_4
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.0,0.833,0.256,0.887,189.82314373482757,-0.0804418359926123,OPC_2_2-SEAAD
130,CPS_AT8,Micro-PVM_2,0.0,-0.001,1.122,0.339,0.9,160.8088655536277,-0.1974351286539813,OPC_2
130,CPS_AT8,Micro-PVM_2,0.6671954955101802,0.146,1.256,0.334,0.911,294.683942930652,0.6818168224867437,VLMC_1
99,Braak_codes,Micro-PVM_2,0.8095309834662651,0.33,1.317,0.26,1.0,331.1347121877056,0.9868281170593954,OPC_2_1-SEAAD
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.107,0.246,0.078,0.521,184.39276814208264,0.0,OPC_2
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,0.035,0.798,0.235,0.908,178.32354415177173,-0.0750298303041422,OPC_2
6,Age_at_Death_binned_codes,Micro-PVM_2,0.0,0.0,0.0,0.0,0.0,293.04059549852104,-0.041621936411494,Micro-PVM_2
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.403,0.092,0.113,0.416,213.9387465826216,0.0767132836990383,VLMC_1
99,Thal_codes,Micro-PVM_2,0.0,-0.011,0.757,0.239,0.728,203.54162786304823,-0.0311509496947543,Oligo_2_1-SEAAD
130,CPS,Micro-PVM_2,0.5731486770028051,-0.0,1.027,0.29,0.945,291.1127005513797,0.6719814556572277,Astro_4
6,Age_at_Death_binned_codes,Micro-PVM_2,0.4454076261900768,0.097,0.834,0.225,0.92,238.3669357613108,0.5041015500637376,Astro_5
130,CPS_6e10,Micro-PVM_2,0.4883008388464148,-0.003,0.92,0.278,0.91,314.4244305865724,0.6524735517070883,Oligo_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.373,0.051,0.114,0.47,202.51768601818196,0.1111142398952281,Endo_2
68,Sex_codes,Micro-PVM_2,0.0,-0.404,0.056,0.136,0.673,200.8636875777399,0.1234347006039564,OPC_2
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.402,0.062,0.119,0.46,215.0474059493885,0.1096101961488789,Pericyte_1
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.099,0.296,0.092,0.552,219.06529805393447,0.0,Lymphocyte
37,Sex_codes,Micro-PVM_2,0.0,-0.471,0.0,0.153,0.764,179.69596471531187,0.100390299667785,OPC_2_2-SEAAD
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.11,0.337,0.103,0.548,210.9948546647368,0.0,Micro-PVM_2_3-SEAAD
37,Age_at_Death_binned_codes,Micro-PVM_2,0.574407702057479,0.205,0.99,0.22,0.985,316.41542352768545,0.6792927467753405,Ependymal
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.4,0.077,0.113,0.456,200.6207020366156,0.1087406915132384,Astro_1
37,Age_at_Death_binned_codes,Micro-PVM_2,0.4825404082857046,0.101,0.846,0.241,0.892,269.7767765716318,0.5668271099084115,Oligo_3
6,Age_at_Death_binned_codes,Micro-PVM_2,0.533083318764958,0.111,0.91,0.232,0.963,338.58685397627033,0.6281649936852575,Lymphocyte
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.108,0.319,0.097,0.534,210.32489705702744,0.0,OPC_1
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.122,0.299,0.096,0.525,209.53941453635417,0.0,Micro-PVM_2_1-SEAAD
37,Sex_codes,Micro-PVM_2,0.0,-0.452,0.047,0.144,0.686,216.77737065023783,0.0571277595482108,Endo_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.382,0.079,0.104,0.402,213.8073094464952,0.1137839971538041,Ependymal
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.092,0.303,0.096,0.544,168.7930420680752,0.0,Micro-PVM_4-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.401,0.014,0.128,0.66,191.3092058683916,0.0709672474093803,Oligo_3
37,Sex_codes,Micro-PVM_2,0.0,-0.433,0.075,0.139,0.6,224.7550045895367,0.027780906108561,Micro-PVM_2_3-SEAAD
130,CPS_AT8,Micro-PVM_2,0.7017559080739282,0.178,1.226,0.297,0.973,315.08585260932404,0.7078412790230759,Oligo_2
130,CPS_AT8,Micro-PVM_2,0.0,-0.001,1.088,0.35,0.837,173.91343122989846,-0.1977559129841704,Astro_6-SEAAD
37,Age_at_Death_binned_codes,Micro-PVM_2,0.4838800577555638,0.07,0.878,0.244,0.921,276.5077147242514,0.5715899393211278,Astro_1
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.1,0.314,0.096,0.558,220.46846829309396,0.0,Micro-PVM_2_3-SEAAD
99,Braak_codes,Micro-PVM_2,0.830914564599442,0.258,1.311,0.259,1.0,328.237749580913,0.9594857332024812,Micro-PVM_4-SEAAD
37,Age_at_Death_binned_codes,Micro-PVM_2,0.4847566351839799,-0.012,0.868,0.256,0.915,293.13913515129263,0.5920910192830929,Astro_2
99,Thal_codes,Micro-PVM_2,0.0,-0.006,0.737,0.235,0.801,204.23475259666424,-0.0806803464695905,Astro_6-SEAAD
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.105,0.276,0.09,0.547,221.12434396517327,0.0,Astro_5
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.146,0.279,0.096,0.537,210.01195008245392,0.0,OPC_2_1-SEAAD
99,ADNC_codes,Micro-PVM_2,0.0,-0.149,0.55,0.178,0.579,221.38209499845055,0.0,Micro-PVM_2_1-SEAAD
37,Age_at_Death_binned_codes,Micro-PVM_2,0.0,-0.001,0.823,0.256,0.882,189.89877111377103,-0.0750091973213145,Oligo_1
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.118,0.202,0.067,0.519,199.46356882861363,0.0,Astro_6-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.39,0.063,0.121,0.59,196.62119516895063,0.0651694037388196,Endo_3
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.114,0.214,0.063,0.473,182.126272329246,0.0,Oligo_3
6,Age_at_Death_binned_codes,Micro-PVM_2,0.4422821656621684,0.09,0.827,0.226,0.922,238.5124700898467,0.4964633964348124,Micro-PVM_2_1-SEAAD
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5773013934601372,0.133,0.961,0.235,0.976,345.7126375228498,0.6490010079847948,Micro-PVM_2_3-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.346,0.063,0.112,0.583,206.32266004343876,0.0487770101017944,Astro_6-SEAAD
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.097,0.216,0.058,0.499,199.3142048106273,0.0,Pericyte_1
68,Sex_codes,Micro-PVM_2,0.0,-0.415,0.016,0.128,0.658,201.01244668930383,0.1115550421152646,Astro_1
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.104,0.222,0.061,0.51,198.3010829817741,0.0,Micro-PVM_4-SEAAD
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.1,0.254,0.088,0.57,183.70000031594887,0.0,VLMC_1
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.118,0.195,0.062,0.494,187.93704167434265,0.0,Endo_3
68,Sex_codes,Micro-PVM_2,0.0,-0.393,0.038,0.126,0.621,208.07410798163352,0.0745702740173699,Ependymal
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.098,0.228,0.061,0.492,183.102358460538,0.0,OPC_1
37,Age_at_Death_binned_codes,Micro-PVM_2,0.5554277904398293,0.152,0.988,0.242,0.961,294.10083383747747,0.6542007583113776,Endo_3
130,CPS,Micro-PVM_2,0.0,-0.0,0.988,0.301,0.89,175.67159425963283,-0.0973685151317977,Endo_3
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.1,0.2,0.061,0.483,194.4628494957564,0.0,Astro_2
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.117,0.228,0.068,0.505,187.5055976298622,0.0,Endo_2
130,CPS_6e10,Micro-PVM_2,0.0,-0.011,0.856,0.259,0.895,198.3010829817741,0.0,Micro-PVM_4-SEAAD
6,Age_at_Death_binned_codes,Micro-PVM_2,0.5713358625021515,0.199,0.978,0.23,0.966,347.8704810042287,0.6753180578881126,Endo_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.413,0.076,0.115,0.463,202.997135986475,0.1193492568269072,Endo_3
68,Sex_codes,Micro-PVM_2,0.0,-0.335,0.078,0.098,0.514,196.67914743883824,0.0279403069018117,Oligo_2
37,Sex_codes,Micro-PVM_2,0.0,-0.376,0.052,0.127,0.589,226.19327705946984,0.0326981873161439,Astro_5
99,Thal_codes,Micro-PVM_2,0.0,-0.044,0.762,0.251,0.718,205.93437202710336,-0.030434991214758,OPC_1
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.081,0.292,0.089,0.524,167.61691113077785,0.0,OPC_2_2-SEAAD
130,CPS,Micro-PVM_2,0.5590815540920084,0.045,1.004,0.291,0.928,304.1610585146935,0.7321850838768456,OPC_1
130,CPS_AT8,Micro-PVM_2,0.0,-0.081,0.934,0.306,0.775,186.00407207667405,-0.087192972526383,Ependymal
37,Sex_codes,Micro-PVM_2,0.0,-0.48,0.001,0.154,0.792,180.9494943255481,0.1003316410516964,Micro-PVM_4-SEAAD
37,Sex_codes,Micro-PVM_2,0.0,-0.463,0.012,0.151,0.681,218.6542067437957,0.0581796827224137,OPC_2_1-SEAAD
99,Braak_codes,Micro-PVM_2,0.804705225611231,0.313,1.273,0.257,0.995,321.3257542413071,0.938868905244464,OPC_2_2-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.37,0.056,0.124,0.628,208.6712428520277,0.0561340590255813,OPC_2_2-SEAAD
37,Sex_codes,Micro-PVM_2,0.0,-0.433,0.043,0.133,0.544,223.97410397080415,0.0319709702588809,Lymphocyte
130,CPS,Micro-PVM_2,0.5699920627721983,-0.002,1.01,0.306,0.89,314.3679175868665,0.7455203275028603,Endo_2
37,Sex_codes,Micro-PVM_2,0.0,-0.47,0.0,0.154,0.775,180.4622975182777,0.0981860443186433,Monocyte
99,ADNC_codes,Micro-PVM_2,0.0,-0.128,0.445,0.139,0.53,220.46846829309396,0.0,Micro-PVM_2_3-SEAAD
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.085,0.247,0.071,0.532,197.5923617450404,0.0,Ependymal
68,Sex_codes,Micro-PVM_2,0.0,-0.402,0.053,0.128,0.592,193.9853027778813,-0.0442924154536534,Oligo_1
68,Sex_codes,Micro-PVM_2,0.0,-0.413,0.035,0.128,0.601,207.02796119447075,0.0547810988097414,Pericyte_1
6,method[T.10xV3.1_HT],Micro-PVM_2,0.0,-0.394,0.085,0.117,0.471,196.543715367188,0.1099111822890125,Oligo_3
6,Age_at_Death_binned_codes,Micro-PVM_2,0.443972978402902,-0.004,0.802,0.244,0.858,235.8263565346151,0.4824695315160705,Micro-PVM_4-SEAAD
68,Sex_codes,Micro-PVM_2,0.0,-0.444,0.029,0.145,0.771,211.34113501236396,0.1200790311680808,Astro_2
99,Thal_codes,Micro-PVM_2,0.0,-0.006,0.748,0.237,0.774,202.44189475793024,-0.0298304072461923,Micro-PVM_3-SEAAD
99,APOE4_Status_codes,Micro-PVM_2,0.0,-0.089,0.289,0.085,0.515,192.90675989516757,0.0,Oligo_2
68,Sex_codes,Micro-PVM_2,0.0,-0.392,0.068,0.122,0.591,208.5092867162864,0.0,Astro_6-SEAAD
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.113,0.34,0.099,0.522,205.3777797931473,0.0,Astro_1
68,APOE4_Status_codes,Micro-PVM_2,0.0,-0.096,0.371,0.105,0.551,202.2208329527648,-0.0493401642808346,OPC_2_2-SEAAD
